date,Berlin Max_Temperature,Paris Max_Temperature,Copenhagen Max_Temperature,Stockholm Max_Temperature,Metropolitan City of Rome Max_Temperature
1985-07,32,33,27.9,27.5,37
1985-08,32.722,29.4,25,24.5,38
1985-09,26.4,30,21,20,34
1985-10,28.3,30,22,21,31
1985-11,17.222,17.111,12,8.7,22
1985-12,15.2,20.889,11,7.5,23
1986-01,10.3,12.278,9,4,17
1986-02,4.5,7.222,4.222,6,17.389
1986-03,18,17.8,9.6,10,21
1986-04,21.722,18,18,19.8,24
1986-05,28.611,26.4,22.9,23.5,31
1986-06,31.5,34.4,29.6,30.8,33
1986-07,33.3,30.889,29.722,27.4,36
1986-08,36.222,36.8,28.8,27.5,38
1986-09,23.3,26,18.1,18.5,33
1986-10,22.4,26,19,19.5,29
1986-11,14.8,18,12.8,11.6,24
1986-12,12.3,15,11.5,11.6,23
1987-01,7,14,5,4,25
1987-02,8.1,15,6,5.6,22
1987-03,13.9,15,10.8,11,19
1987-04,28.3,26.111,21,23.5,24
1987-05,24.722,26.4,22.2,24.222,31
1987-06,38.222,32,28,23.5,35
1987-07,31,30.9,26.2,29.7,37.4
1987-08,29.111,33,26.8,23,36
1987-09,26.4,31,22.2,19.8,37
1987-10,22.8,24,21,15.2,28
1987-11,12,16.278,11.3,11.2,21.389
1987-12,13.4,15.3,13.611,7.5,25
1988-01,13,15.778,10.7,7.2,17
1988-02,12.111,14.722,12.222,5.222,18
1988-03,13.9,15.111,11,6.8,20
1988-04,25.722,23,24,17.3,23
1988-05,29.222,26.7,26.8,26.8,30
1988-06,28.278,26.889,28.5,29.5,30
1988-07,31.222,30,27.111,27.8,37
1988-08,30.4,31.5,26.278,23.6,38
1988-09,26.1,26.111,22.7,23,34
1988-10,20.111,23,19.778,15.111,30
1988-11,14.3,17.9,10.4,9.2,27
1988-12,10.3,14,10,8.2,18
1989-01,11,13.4,10.4,10.5,17
1989-02,14,15.9,11.6,12,19
1989-03,22.8,25,17.389,12.8,26
1989-04,25.5,20.5,22,21.5,26
1989-05,27.9,30,26.6,28.4,28
1989-06,32,30.4,30.278,28.5,31
1989-07,38,34,33.1,32.4,35
1989-08,35.3,31,30.2,27.5,36
1989-09,29.9,29.278,26.111,24,31
1989-10,23,25.111,22.389,16.4,26
1989-11,14,16.2,15,11.1,24
1989-12,15.1,23.111,11.6,7.8,22
1990-01,12.4,14.4,10.7,7.5,18
1990-02,19,20.3,15.8,13.5,21
1990-03,22,24.111,19,18,23
1990-04,22.4,23.8,20.1,24,22.8
1990-05,28.6,28.222,27.1,28.6,31
1990-06,29.4,31.389,24.1,26.4,36
1990-07,32.7,34.3,27,28.7,37
1990-08,33.222,37.722,31.389,28.7,36
1990-09,22.3,28,20.6,20.222,30
1990-10,24,26.722,20,16.2,32
1990-11,13.111,16.5,13.3,10.111,23.222
1990-12,9.222,13.778,13.111,9.3,16.389
1991-01,15.5,15,10.5,6.2,17.611
1991-02,13.5,18,10.8,13.5,20
1991-03,18.111,19.5,13.4,12.5,28
1991-04,21.2,25.8,19.6,19,25
1991-05,24.222,25.3,23,19.6,26
1991-06,27.8,25.611,21,21.2,34
1991-07,36.1,35.222,33.111,31.6,36
1991-08,35.2,33.389,27.6,29,37
1991-09,29.5,31,27.111,26.3,31
1991-10,24.4,24.389,20.4,17.611,29
1991-11,16.222,19.611,11.8,10,20
1991-12,12.5,13.5,9.7,9.5,17
1992-01,11.5,13,9.6,10.8,17
1992-02,15,17.278,10,10.8,20.611
1992-03,16.2,19,12.2,11,22
1992-04,25.611,22.4,15,15.7,26
1992-05,29.3,31.2,27.1,29,30
1992-06,33.2,31,30.611,29.111,33
1992-07,36.3,35.722,30.7,28.3,37
1992-08,38.611,36.778,33.5,27,38
1992-09,24.8,29.5,20.6,20.2,32
1992-10,18.1,20.889,16.389,17.1,28
1992-11,13.278,16.4,12.111,10,25
1992-12,12.5,18.778,10,9.2,19.5
1993-01,14.2,15.778,11.1,8.5,19
1993-02,7.5,10.7,8.5,10.4,20
1993-03,17.3,22.6,13,14.2,25
1993-04,28.6,26,26.2,27,27
1993-05,30.8,28.3,27.7,27.222,32
1993-06,30.9,31.6,27.5,27.8,35
1993-07,29.5,30.111,25,26.4,37
1993-08,30.8,31.3,24.278,22,39
1993-09,24.2,27.111,19.889,18.3,34
1993-10,21.1,20.278,20,15.722,29
1993-11,8.6,20.389,9.611,7,24
1993-12,13.2,16,11,8.2,20.5
1994-01,11.6,14,10,7.8,20
1994-02,13,16,6.778,6.278,19
1994-03,21.5,23,13.5,11,30
1994-04,24.6,27.611,20,20.3,26
1994-05,24.9,27.722,23.4,23,30
1994-06,35,33.111,26.889,27.2,35
1994-07,37.8,34.4,33.2,34.222,36
1994-08,38.2,36.222,31.4,32,38
1994-09,22.2,24.722,20.222,20,35
1994-10,18.1,24,15,15.4,27
1994-11,15.6,20,13,12.6,24
1994-12,14,15.3,12.1,9,19
1995-01,13,15.4,11.278,6.2,19
1995-02,15.4,16.2,10.6,9.5,18
1995-03,17.1,18.889,12.1,11.8,19.4
1995-04,28.7,22.611,24.4,20.5,25
1995-05,29.6,28.3,23.3,27.4,28
1995-06,28,33.1,28.5,26.5,33
1995-07,33.9,37,30.222,29.611,37
1995-08,32.9,35.1,29.5,30.4,35
1995-09,24.7,24.111,24,23,29
1995-10,25,26.8,23.6,22.7,28
1995-11,11.6,19.5,20.722,8.222,22
1995-12,9.5,13,9.778,3.2,18
1996-01,5.2,15,3.2,3,22.111
1996-02,11.6,14.278,5.4,4.5,17
1996-03,12.2,21.5,8.278,9,19
1996-04,30,25.222,27,22,24
1996-05,30.6,29.722,23.5,24,31
1996-06,34.3,34.1,29.111,26.6,35
1996-07,27.5,32.3,25.5,27.222,35
1996-08,30.5,30.5,28.389,32,34
1996-09,23.5,26,22.6,22.7,28
1996-10,20.5,22.2,17,16.2,24
1996-11,16.5,15.5,14.722,13.3,23
1996-12,9.6,12.6,8,6.4,19
1997-01,9.5,13,6.1,7.3,19
1997-02,14.9,19.778,11,8.8,18
1997-03,19.5,20.5,14.7,15.9,24.278
1997-04,19.1,22.722,18.5,15.222,24
1997-05,30.1,27.9,20,20.6,30
1997-06,34.2,29.1,26.222,28,33
1997-07,27.9,36.611,27.889,30.8,36
1997-08,32.6,34.4,31.5,30.5,36
1997-09,28.7,29.611,25.722,24.7,35
1997-10,23.9,28.611,18,15.2,33.611
1997-11,17.7,15.3,12.111,11.8,22.278
1997-12,12,15,9.111,7.7,18
1998-01,13.9,16,11,8.5,19
1998-02,16.6,18.4,12.778,10.3,21
1998-03,20.1,21.9,16,13.3,21.778
1998-04,25,24.4,23.111,23,25.111
1998-05,30.9,31.7,25.389,25.4,30
1998-06,34.4,32.4,24.278,23.2,37
1998-07,36.9,33.8,29.111,25.722,39
1998-08,32.2,37.722,23.111,24.4,40
1998-09,24.9,28.3,21.611,22,34
1998-10,20.1,19.778,15,14.3,29
1998-11,11.9,15.389,8.389,5.1,22
1998-12,13,15.4,8.3,7.6,21
1999-01,14.6,17,10.5,8.3,19
1999-02,13.6,12.222,9.2,8.111,18
1999-03,20.9,20,15.111,13.611,22
1999-04,22.3,22.5,18.9,17.8,25
1999-05,31.3,29.8,24.111,24.1,30
1999-06,28.6,27.5,24.222,27.8,33
1999-07,35.8,33,28.722,32.7,36
1999-08,31,33.722,28.611,31.9,38
1999-09,30.5,32.111,27,26.4,32
1999-10,19.4,22.389,18,16.7,27
1999-11,15.2,18.722,15,15.5,24
1999-12,12,13.611,10.1,8.111,19.278
2000-01,11.6,13.7,9.7,7,16
2000-02,18,18.778,11.278,8,17
2000-03,16.5,18.5,14,15,20
2000-04,30.5,22.4,27.611,24.1,28
2000-05,32,28.722,29.111,25,29
2000-06,36.9,33,32.389,27.3,32.611
2000-07,26.5,28.1,30.222,26.8,37.389
2000-08,32.5,32.1,25.778,24.4,40
2000-09,24.5,29.1,22.611,20.7,34.222
2000-10,23.5,21.5,20,18,32.222
2000-11,14.2,16.889,13.111,11.6,23.5
2000-12,14.5,17.611,11.5,10,19.611
2001-01,10.4,13.111,8,5.7,19
2001-02,13.8,15.889,11,9,20
2001-03,14.9,19,10.111,8.3,25.5
2001-04,26.2,24,17.4,17.222,26.389
2001-05,29.7,29.611,25.5,23,33.611
2001-06,29.2,35,28,28,35.778
2001-07,32.8,32.389,32.278,41,40.5
2001-08,35.4,34.111,30.5,26.1,38
2001-09,22.7,23.722,21.4,21.3,30.611
2001-10,22.7,25.722,20,17.3,29.5
2001-11,12.2,14.4,13.111,14.111,24.778
2001-12,8.4,14,11.278,6.2,17.222
2002-01,15.2,16,9.222,6,17.611
2002-02,17,17.778,19,10,19.611
2002-03,19,19.889,16,17.6,26
2002-04,19.5,24.111,17.5,21.8,26.222
2002-05,28.5,28,24,25.1,29.389
2002-06,33.8,34.278,27.2,29.4,37.778
2002-07,34.3,35.5,30.111,31,36.278
2002-08,33.2,33.5,30.4,30.9,41.611
2002-09,27.9,25,26.5,26.611,29.222
2002-10,20.2,24,19.5,14.8,28.222
2002-11,12.5,16.222,9.5,6.3,33.111
2002-12,7.4,15.222,7.889,4.3,27.611
2003-01,10,16.5,10,7,30.111
2003-02,12.2,16,6.6,7,28.389
2003-03,18.9,23,16,15.5,25.611
2003-04,22.8,25.4,20.389,22.1,28.611
2003-05,30.7,29,23.222,23.8,33
2003-06,33.3,31.889,26.9,27.5,39.5
2003-07,34.5,36.611,30,31.5,39
2003-08,36.3,40,30.278,30.9,40
2003-09,30.2,31,26,24.8,31.778
2003-10,18,25,16,13.8,28.5
2003-11,15.5,19.278,12.111,14.889,26.889
2003-12,11.3,14,10,7.8,21
2004-01,8.7,15.4,5.5,3.1,16.8
2004-02,15.5,19,10.389,7.9,21
2004-03,20.9,23,17.3,15,21.389
2004-04,23.9,22.611,19.222,18.611,23.778
2004-05,25.7,26.722,23.4,24.9,27.389
2004-06,26.8,32,24.278,25.7,34.5
2004-07,30.3,36.111,27,26.611,37.611
2004-08,31.9,34.222,27.722,31.4,37.111
2004-09,26.9,30.222,24.611,24,39.722
2004-10,25.4,27,17.722,14.6,27.222
2004-11,14.8,15,12.222,12.222,28.389
2004-12,9.7,12.778,9.222,16.5,21.389
2005-01,14,13,11.722,10.4,16.278
2005-02,11,13.5,6.111,5.111,18.5
2005-03,18.6,23.722,13.111,14.3,22.222
2005-04,22.9,27.278,19.4,17.5,26.778
2005-05,33.8,32.722,26.5,21.2,32.389
2005-06,34,35,27.611,27,36.778
2005-07,32,35.111,31,32.3,41.222
2005-08,29.3,33.722,28.5,24.9,34.389
2005-09,29.6,32.778,27.111,23.722,33.111
2005-10,21.1,25.5,19.111,19,25.5
2005-11,17.7,19.722,14.4,12.8,23.5
2005-12,8.2,11.8,10.111,7.6,17.4
2006-01,5,12,5,7,20.111
2006-02,9.1,13,8.278,6.9,24.278
2006-03,19,20.111,13.222,7.9,20.889
2006-04,24,23.722,14.389,16.3,25.611
2006-05,26.4,26.389,24.222,24.8,33.222
2006-06,33.8,33.5,27.722,31.7,37.778
2006-07,37,37,31.4,32.9,38.222
2006-08,29,27,28.8,30.7,37.4
2006-09,28.1,31.111,24.3,24.9,34.778
2006-10,23.9,23,23.5,17.722,29.222
2006-11,18.6,19,14,12.3,27.4
2006-12,15.1,16,12.889,12.4,21
2007-01,14.2,16,11.611,11.5,19.389
2007-02,12.2,18.222,10.722,5.722,19.389
2007-03,19.8,19,16.9,18.1,22.278
2007-04,28.2,28.5,23.611,23.7,29.5
2007-05,32.8,28.722,26.3,22.8,34
2007-06,31.8,32,31,31.5,38.389
2007-07,38.6,33.278,28.222,27,39.389
2007-08,31,33.278,27.722,29.5,40.5
2007-09,25.2,27,21,20.5,32.389
2007-10,19,22.222,17.611,15.9,30.778
2007-11,14,14.4,14,13.5,22
2007-12,14.1,14.3,10.389,9.222,16.778
2008-01,12,15,10.389,8.3,17.778
2008-02,14.6,18.222,11.278,10.2,20
2008-03,18.2,18,13.778,13.5,22
2008-04,23.7,25.5,20.9,21.8,24.722
2008-05,31.4,27.278,25.111,27.111,36
2008-06,33,29.722,27.5,30.6,36.389
2008-07,34.8,34,30.5,31.6,36.389
2008-08,35,32.5,30.111,29.1,37.389
2008-09,26,28.111,22.111,20.6,37.611
2008-10,21.1,25,17.278,15.3,27.611
2008-11,16,18,13.5,12,26
2008-12,9.2,12.4,9,6.4,17
2009-01,6.7,12.389,8,6.9,16.611
2009-02,9.2,14.611,7.389,5.1,17.722
2009-03,15.5,17.222,13.111,11.6,22.778
2009-04,27.5,22,23,21.4,25.222
2009-05,31.7,30.278,26.722,27.4,36.778
2009-06,29,31.111,27.4,30.4,36
2009-07,31.4,32.611,29.722,30.6,40
2009-08,33.4,36,28,29,39.222
2009-09,33.1,30,26.222,24.8,34.222
2009-10,23.5,26.722,16,13.611,31
2009-11,15.5,18.9,13.5,12,24
2009-12,10.4,14,8,7.3,20.389
2010-01,2.7,10.4,3.111,0.4,16.278
2010-02,12.9,15,5.3,3.611,20
2010-03,23.5,20.611,17.611,10.6,23
2010-04,25.5,27.611,21.5,18.8,27.389
2010-05,22.7,30.4,22,25.4,29
2010-06,32.5,31.389,26.9,28.4,33.778
2010-07,38.2,35.778,32.222,32.5,39.222
2010-08,30.3,31.389,26.222,30.611,36.611
2010-09,25.3,27.389,21.222,20.4,33.722
2010-10,18.8,25.111,15.722,15,29.889
2010-11,18.5,18.4,12.611,10.4,26.111
2010-12,5.5,8,6,1.5,20.722
2011-01,11.2,15,8.222,5.222,18.611
2011-02,11,17.889,9.611,6,21.278
2011-03,17.8,22,15.278,13.8,23
2011-04,25.5,27.389,22,22.7,28
2011-05,34.1,29.611,25.6,26,31
2011-06,33.3,37.111,26.8,29,35
2011-07,30.5,31.611,27.9,30.2,38
2011-08,31.8,33.5,26.111,27.1,40
2011-09,30,31.722,25.722,22.4,36
2011-10,28,29,22.8,18.611,30.389
2011-11,15.9,18.3,13.222,13.4,23
2011-12,13,14,10.611,12.2,19.222
2012-01,13,14.4,9.222,6,17
2012-02,12,15.9,14,12.3,19.611
2012-03,21.5,24.778,18,17.2,25
2012-04,31.9,22.111,18.5,17.9,28
2012-05,31.6,29,28.111,26.222,30.222
2012-06,32.4,33,24.5,23.8,37
2012-07,33.8,32.889,28.8,27.3,38.389
2012-08,36.4,38.389,31.5,25.6,41
2012-09,30.9,31.722,26.5,22.3,33.8
2012-10,23.1,25,20.889,16,30
2012-11,12.4,15,11.222,11.6,24.389
2012-12,12.7,15,8.611,6,18
2013-01,12.4,14,10,6.222,19.4
2013-02,7.6,12,7.278,9.7,17
2013-03,14.4,17,11.9,7.611,22
2013-04,26.2,26.722,20.222,15.3,32.222
2013-05,28.8,22.389,27.611,24.722,29.222
2013-06,34.7,29.4,27.3,26.611,36.389
2013-07,35.7,35,30.389,29.4,37
2013-08,35.1,35.5,30,28.9,40
2013-09,27.3,33.111,23.722,24.4,34
2013-10,21.9,25,17.389,17.611,27.389
2013-11,15.1,17.278,12.278,11.6,24
2013-12,11.1,13.4,11.611,9.8,21
2014-01,12.6,15.111,9.611,7.222,19
2014-02,14.2,15.5,10.889,10.2,24.222
2014-03,22,21.611,17.722,15,23.611
2014-04,23.8,23.889,21.222,23,28.389
2014-05,30.8,26.111,27.611,28,29.222
2014-06,35,28.722,27.222,27.4,36.389
2014-07,35.6,35.778,31,32.7,34.222
2014-08,30.4,29.111,28.9,33.111,35
2014-09,27.7,28.389,24.4,24.1,32.222
2014-10,22.6,25.389,18.389,17.111,32.778
2014-11,19.5,21.722,16.5,14.3,24
2014-12,12.5,15,11,5.9,22
2015-01,13.2,15.111,10.389,9.2,18
2015-02,11.3,13.278,8.278,9.5,19.5
2015-03,18,21.222,14.389,16.5,22.778
2015-04,23.6,27.278,19.278,16.9,25.389
2015-05,28,28,20,19.3,33
2015-06,32.6,34.222,24.9,26.4,34.389
2015-07,38,39.722,32.4,30.611,40.222
2015-08,38.9,35.278,27.8,30.5,39.611
2015-09,29.5,24.222,22.9,21.3,34.611
2015-10,21.1,22,18.389,19.8,26.4
2015-11,18.1,22.111,15.722,13.9,28.5
2015-12,15.1,17,21.278,13.3,19.389
2016-01,12,14.389,10.222,8.222,18.778
2016-02,12.4,15,10.278,8.111,22.222
2016-03,17.7,17.222,13.5,12.6,25.611
2016-04,24.1,22.111,16.4,14.7,28.222
2016-05,29.8,26.111,27.3,26.611,30
2016-06,36.4,32.722,29.9,29.8,36
2016-07,32.1,35.611,29.4,30,36.222
2016-08,35,37,31.222,27.611,35.389
2016-09,32.8,33.4,27.5,25.222,34
2016-10,19.7,22.111,18,16.4,28
2016-11,15,17,12.222,9.4,22.5
2016-12,11.5,13,12.389,10.8,18.611
2017-01,8.1,13.222,8.389,10.611,16.389
2017-02,14,20.722,10,8.111,18
2017-03,23.4,23.722,20.778,19,25
2017-04,24.9,26.5,16.889,16.2,24.778
2017-05,32.3,32,26,28.9,31
2017-06,32.2,37.5,25.9,26.9,35
2017-07,32.9,35.4,24,25.3,39.778
2017-08,31.5,33.389,25.222,26.222,42
2017-09,23.3,26,20.9,20,30.222
2017-10,23.1,26,17.278,17.222,28
2017-11,15,17.111,13.278,10.611,21.111
2017-12,12.7,15.4,11,7.222,18
2018-01,12.6,15,11.278,7.611,21.389
2018-02,7.7,12.222,5.611,4.111,17
2018-03,17.1,19.111,10.111,10.2,21
2018-04,28.5,29.278,25.889,24.6,30
2018-05,33.2,29.111,29,28.8,31
2018-06,32.7,33,29.4,30.778,33.278
2018-07,36.3,37.389,33.222,33.611,36
2018-08,38,38,33.4,32.222,37.8
2018-09,31.2,30.278,26.389,25.5,33
2018-10,25.7,27.222,22.5,20.111,27
2018-11,17.9,20.5,13,11.222,22
2018-12,14,16.222,11,7.4,19.389
2019-01,8.8,12,8.389,7,16.222
2019-02,16.7,21.111,14.278,11.9,22.4
2019-03,19.1,21.5,15.778,15.3,24
2019-04,27,27.222,25.222,20.778,27.111
2019-05,26.8,25.611,23.5,26.9,24
2019-06,38.6,36.5,32,29.6,38
2019-07,34.7,42.611,31.5,32.2,37
2019-08,34.1,34,31,27.8,38.222
2019-09,31.3,28.611,25.389,26.3,33
2019-10,24.7,26.5,18.111,15,28
2019-11,16.6,17,12.3,9.611,28.222
2019-12,13.4,16.278,11.389,10.3,20.222
2020-01,14.5,15,12.722,11.222,17
2020-02,17,18.389,11.5,11.222,19.611
2020-03,18,21.222,13.3,12.722,22.222
2020-04,24.6,27.111,21,18.222,24
2020-05,25.5,30.5,25.3,23.3,32
2020-06,33.5,35.222,29,31,34.222
2020-07,31,39.5,27,27.3,39.778
2020-08,37.4,39.278,32.5,30.4,37.611
2020-09,31.7,35.278,26.5,21.222,35
2020-10,22.4,22,18.5,19.2,25
2020-11,21,20,17.611,15.8,22
2020-12,13.8,16,9.5,8.4,18.278
2021-01,13.4,14.5,8.778,6.4,17
2021-02,19.9,21.222,15.111,12,22
2021-03,24.7,26,18.389,17.222,24.389
2021-04,21.2,25.611,20.389,16.4,26.778
2021-05,30.7,28.4,24.889,24.111,31.222
2021-06,36.6,33.278,31.4,29.611,37
2021-07,31.2,30.278,31.111,33.1,37
2021-08,30.5,31.222,25.889,25.722,39.778
2021-09,28.1,31.5,26.4,23.8,32
2021-10,24.7,24.111,18.222,17.111,29
2021-11,13,15,14.111,12.5,26.222
2021-12,14.2,16.5,10.111,9.611,19
2022-01,13,15.111,10.611,9.222,17
2022-02,13.8,15.722,9.722,7.5,20
2022-03,19,22.222,16.778,15.5,22
2022-04,21,22.722,20.5,18.889,25
2022-05,29,29.722,24.889,23.889,35
2022-06,37,36.722,30.5,31.5,41.222
2022-07,38,40.5,31.889,34.778,39.611
2022-08,37,36,32.389,31.778,38
2022-09,24,31.222,22.5,21.278,34
